trip_id,service_id,route_id,trip_headsign,direction_id,block_id
"1","8","0006","6 | Saint-Jacques Morinais","0","1049116"
"18225","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048469"
"18226","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047515"
"18227","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049806"
"18228","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049263"
"18229","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048976"
"1823","17","0031","31 | Beaulieu Chimie","1","1047629"
"18230","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048446"
"18231","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047492"
"18232","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049783"
"18233","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049240"
"18234","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048983"
"18235","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048453"
"18236","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047499"
"18237","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049790"
"18238","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049247"
"18239","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048981"
"1824","21","0031","31 | Beaulieu Chimie","1","1049899"
"18240","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048451"
"18241","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047497"
"18242","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049788"
"18243","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049245"
"18244","8","0030","30 | Stade Rennais","0","1048973"
"18245","13","0030","30 | Stade Rennais","0","1048443"
"18246","17","0030","30 | Stade Rennais","0","1047489"
"18247","21","0030","30 | Stade Rennais","0","1049780"
"18248","28","0030","30 | Stade Rennais","0","1049237"
"18249","8","0030","30 | Stade Rennais","0","1048983"
"1825","28","0031","31 | Beaulieu Chimie","1","1049356"
"18250","13","0030","30 | Stade Rennais","0","1048453"
"18251","17","0030","30 | Stade Rennais","0","1047499"
"18252","21","0030","30 | Stade Rennais","0","1049790"
"18253","28","0030","30 | Stade Rennais","0","1049247"
"18254","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048975"
"18255","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048445"
"18256","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047491"
"18257","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049782"
"18258","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049239"
"18259","8","0030","30 | Stade Rennais","0","1048978"
"1826","8","0031","31 | Beaulieu Chimie","1","1049032"
"18260","13","0030","30 | Stade Rennais","0","1048448"
"18261","17","0030","30 | Stade Rennais","0","1047494"
"18262","21","0030","30 | Stade Rennais","0","1049785"
"18263","28","0030","30 | Stade Rennais","0","1049242"
"18264","8","0030","30 | Stade Rennais","0","1048980"
"18265","13","0030","30 | Stade Rennais","0","1048450"
"18266","17","0030","30 | Stade Rennais","0","1047496"
"18267","21","0030","30 | Stade Rennais","0","1049787"
"18268","28","0030","30 | Stade Rennais","0","1049244"
"18269","8","0030","30 | Stade Rennais","0","1048981"
"1827","13","0031","31 | Beaulieu Chimie","1","1048502"
"18270","13","0030","30 | Stade Rennais","0","1048451"
"18271","17","0030","30 | Stade Rennais","0","1047497"
"18272","21","0030","30 | Stade Rennais","0","1049788"
"18273","28","0030","30 | Stade Rennais","0","1049245"
"18274","8","0030","30 | Stade Rennais","0","1048975"
"18275","13","0030","30 | Stade Rennais","0","1048445"
"18276","17","0030","30 | Stade Rennais","0","1047491"
"18277","21","0030","30 | Stade Rennais","0","1049782"
"18278","28","0030","30 | Stade Rennais","0","1049239"
"18279","8","0030","30 | Stade Rennais","0","1048977"
"1828","17","0031","31 | Beaulieu Chimie","1","1047551"
"18280","13","0030","30 | Stade Rennais","0","1048447"
"18281","17","0030","30 | Stade Rennais","0","1047493"
"18282","21","0030","30 | Stade Rennais","0","1049784"
"18283","28","0030","30 | Stade Rennais","0","1049241"
"18284","8","0030","30 | Stade Rennais","0","1048999"
"18285","13","0030","30 | Stade Rennais","0","1048469"
"18286","17","0030","30 | Stade Rennais","0","1047515"
"18287","21","0030","30 | Stade Rennais","0","1049806"
"18288","28","0030","30 | Stade Rennais","0","1049263"
"18289","8","0030","30 | Stade Rennais","0","1048973"
"1829","21","0031","31 | Beaulieu Chimie","1","1049839"
"18290","13","0030","30 | Stade Rennais","0","1048443"
"18291","17","0030","30 | Stade Rennais","0","1047489"
"18292","21","0030","30 | Stade Rennais","0","1049780"
"18293","28","0030","30 | Stade Rennais","0","1049237"
"18294","8","0030","30 | Stade Rennais","0","1048976"
"18295","13","0030","30 | Stade Rennais","0","1048446"
"18296","17","0030","30 | Stade Rennais","0","1047492"
